first_name,last_name,payment_date,SUM(amount)
Jon,Stephens,2005-08-01 04:34:45,4.99
Mike,Hillyer,2005-08-01 04:34:57,4.99
Jon,Stephens,2005-08-01 04:35:34,2.99
Jon,Stephens,2005-08-01 04:36:53,0.99
Mike,Hillyer,2005-08-01 04:37:19,4.99
Mike,Hillyer,2005-08-01 04:39:26,6.99
Jon,Stephens,2005-08-01 04:40:02,4.99
Jon,Stephens,2005-08-01 04:44:13,5.99
Jon,Stephens,2005-08-01 04:44:58,4.99
Mike,Hillyer,2005-08-01 04:49:06,5.99
Mike,Hillyer,2005-08-01 04:52:12,5.99
Jon,Stephens,2005-08-01 04:55:34,4.99
Jon,Stephens,2005-08-01 04:55:35,3.99
Mike,Hillyer,2005-08-01 04:56:10,4.99
Jon,Stephens,2005-08-01 04:56:13,0.99
Jon,Stephens,2005-08-01 04:57:04,6.99
Mike,Hillyer,2005-08-01 04:57:14,4.99
Jon,Stephens,2005-08-01 04:57:32,6.99
Jon,Stephens,2005-08-01 04:58:32,0.99
Jon,Stephens,2005-08-01 04:58:42,1.99
Jon,Stephens,2005-08-01 04:59:30,2.99
Mike,Hillyer,2005-08-01 04:59:53,4.99
Jon,Stephens,2005-08-01 05:01:46,8.99
Jon,Stephens,2005-08-01 05:03:03,3.99
Mike,Hillyer,2005-08-01 05:05:50,6.99
Mike,Hillyer,2005-08-01 05:07:03,2.99
Jon,Stephens,2005-08-01 05:10:02,0.99
Mike,Hillyer,2005-08-01 05:11:11,6.99
Mike,Hillyer,2005-08-01 05:15:47,2.99
Jon,Stephens,2005-08-01 05:18:23,4.99
Jon,Stephens,2005-08-01 05:18:56,2.99
Mike,Hillyer,2005-08-01 05:19:23,4.99
Mike,Hillyer,2005-08-01 05:20:03,4.99
Mike,Hillyer,2005-08-01 05:23:00,2.99
Mike,Hillyer,2005-08-01 05:27:13,3.99
Jon,Stephens,2005-08-01 05:30:05,3.99
Mike,Hillyer,2005-08-01 05:32:13,5.99
Jon,Stephens,2005-08-01 05:44:36,1.99
Jon,Stephens,2005-08-01 05:46:33,3.99
Mike,Hillyer,2005-08-01 05:47:10,2.99
Mike,Hillyer,2005-08-01 05:47:37,0.99
Jon,Stephens,2005-08-01 05:49:17,6.99
Mike,Hillyer,2005-08-01 05:49:49,0.99
Jon,Stephens,2005-08-01 05:50:07,4.99
Jon,Stephens,2005-08-01 05:52:21,3.99
Jon,Stephens,2005-08-01 05:52:53,0.99
Jon,Stephens,2005-08-01 05:53:49,10.99
Jon,Stephens,2005-08-01 05:55:13,6.99
Mike,Hillyer,2005-08-01 06:01:52,2.99
Mike,Hillyer,2005-08-01 06:06:49,2.99
Jon,Stephens,2005-08-01 06:08:44,6.99
Mike,Hillyer,2005-08-01 06:09:37,3.99
Jon,Stephens,2005-08-01 06:12:19,0.99
Mike,Hillyer,2005-08-01 06:13:38,3.99
Jon,Stephens,2005-08-01 06:13:44,4.99
Jon,Stephens,2005-08-01 06:18:04,0.99
Mike,Hillyer,2005-08-01 06:20:29,0.99
Mike,Hillyer,2005-08-01 06:23:48,2.99
Jon,Stephens,2005-08-01 06:24:26,4.99
Mike,Hillyer,2005-08-01 06:25:27,0.99
Mike,Hillyer,2005-08-01 06:26:22,2.99
Jon,Stephens,2005-08-01 06:27:13,5.99
Mike,Hillyer,2005-08-01 06:28:28,3.99
Mike,Hillyer,2005-08-01 06:30:04,0.99
Mike,Hillyer,2005-08-01 06:34:29,1.99
Mike,Hillyer,2005-08-01 06:34:36,2.99
Jon,Stephens,2005-08-01 06:36:37,2.99
Jon,Stephens,2005-08-01 06:36:45,4.99
Jon,Stephens,2005-08-01 06:37:16,0.99
Mike,Hillyer,2005-08-01 06:39:14,4.99
Mike,Hillyer,2005-08-01 06:39:55,4.99
Mike,Hillyer,2005-08-01 06:42:20,3.99
Mike,Hillyer,2005-08-01 06:42:31,4.99
Jon,Stephens,2005-08-01 06:42:44,7.99
Jon,Stephens,2005-08-01 06:46:43,3.99
Jon,Stephens,2005-08-01 06:46:48,4.99
Jon,Stephens,2005-08-01 06:49:05,2.99
Jon,Stephens,2005-08-01 06:50:26,10.99
Mike,Hillyer,2005-08-01 06:52:50,0.99
Mike,Hillyer,2005-08-01 06:58:17,2.99
Jon,Stephens,2005-08-01 07:08:22,2.99
Mike,Hillyer,2005-08-01 07:08:46,7.99
Jon,Stephens,2005-08-01 07:11:27,0.99
Jon,Stephens,2005-08-01 07:11:49,4.99
Jon,Stephens,2005-08-01 07:13:39,5.99
Mike,Hillyer,2005-08-01 07:18:24,6.99
Jon,Stephens,2005-08-01 07:27:09,4.99
Mike,Hillyer,2005-08-01 07:27:19,4.99
Mike,Hillyer,2005-08-01 07:30:45,0.99
Jon,Stephens,2005-08-01 07:31:25,4.99
Jon,Stephens,2005-08-01 07:35:25,0.99
Jon,Stephens,2005-08-01 07:37:05,2.99
Mike,Hillyer,2005-08-01 07:38:07,0.99
Mike,Hillyer,2005-08-01 07:42:10,4.99
Jon,Stephens,2005-08-01 07:49:15,2.99
Mike,Hillyer,2005-08-01 07:53:29,6.99
Mike,Hillyer,2005-08-01 07:56:32,3.99
Mike,Hillyer,2005-08-01 07:57:16,0.99
Jon,Stephens,2005-08-01 07:59:39,3.99
Mike,Hillyer,2005-08-01 08:03:55,0.99
Mike,Hillyer,2005-08-01 08:05:59,4.99
Mike,Hillyer,2005-08-01 08:08:39,4.99
Mike,Hillyer,2005-08-01 08:10:36,4.99
Jon,Stephens,2005-08-01 08:11:07,4.99
Mike,Hillyer,2005-08-01 08:13:22,0.99
Mike,Hillyer,2005-08-01 08:13:53,6.99
Jon,Stephens,2005-08-01 08:14:10,0.99
Jon,Stephens,2005-08-01 08:17:11,7.99
Mike,Hillyer,2005-08-01 08:19:53,5.99
Mike,Hillyer,2005-08-01 08:22:54,0.99
Mike,Hillyer,2005-08-01 08:23:25,2.99
Jon,Stephens,2005-08-01 08:26:08,4.99
Jon,Stephens,2005-08-01 08:30:11,8.98
Jon,Stephens,2005-08-01 08:34:18,2.99
Mike,Hillyer,2005-08-01 08:37:06,2.99
Mike,Hillyer,2005-08-01 08:41:54,5.99
Jon,Stephens,2005-08-01 08:43:21,2.99
Jon,Stephens,2005-08-01 08:45:56,4.99
Jon,Stephens,2005-08-01 08:47:00,4.99
Mike,Hillyer,2005-08-01 08:50:51,4.99
Mike,Hillyer,2005-08-01 08:50:59,0.99
Jon,Stephens,2005-08-01 08:51:04,4.99
Mike,Hillyer,2005-08-01 08:53:04,7.99
Jon,Stephens,2005-08-01 08:54:26,0.99
Jon,Stephens,2005-08-01 08:54:32,2.99
Jon,Stephens,2005-08-01 08:55:56,0.99
Mike,Hillyer,2005-08-01 08:58:08,2.99
Mike,Hillyer,2005-08-01 09:01:04,2.99
Mike,Hillyer,2005-08-01 09:01:40,8.99
Mike,Hillyer,2005-08-01 09:02:15,2.99
Jon,Stephens,2005-08-01 09:02:17,0.99
Jon,Stephens,2005-08-01 09:04:58,3.99
Jon,Stephens,2005-08-01 09:09:31,4.99
Mike,Hillyer,2005-08-01 09:09:59,2.99
Jon,Stephens,2005-08-01 09:10:03,1.99
Mike,Hillyer,2005-08-01 09:11:25,0.99
Jon,Stephens,2005-08-01 09:11:36,0.99
Jon,Stephens,2005-08-01 09:13:27,5.99
Mike,Hillyer,2005-08-01 09:14:00,4.99
Mike,Hillyer,2005-08-01 09:15:00,1.99
Jon,Stephens,2005-08-01 09:17:21,0.99
Jon,Stephens,2005-08-01 09:17:34,5.99
Mike,Hillyer,2005-08-01 09:19:48,2.99
Mike,Hillyer,2005-08-01 09:20:09,4.99
Jon,Stephens,2005-08-01 09:31:00,3.99
Mike,Hillyer,2005-08-01 09:32:53,7.99
Jon,Stephens,2005-08-01 09:38:28,2.99
Mike,Hillyer,2005-08-01 09:39:43,4.99
Mike,Hillyer,2005-08-01 09:43:14,5.99
Jon,Stephens,2005-08-01 09:45:25,5.99
Mike,Hillyer,2005-08-01 09:45:26,0.99
Mike,Hillyer,2005-08-01 09:45:58,5.99
Mike,Hillyer,2005-08-01 09:48:29,0.99
Mike,Hillyer,2005-08-01 09:51:11,4.99
Jon,Stephens,2005-08-01 09:52:26,1.99
Jon,Stephens,2005-08-01 09:52:37,0.99
Mike,Hillyer,2005-08-01 09:54:41,4.99
Mike,Hillyer,2005-08-01 09:56:24,7.99
Jon,Stephens,2005-08-01 10:01:42,5.99
Jon,Stephens,2005-08-01 10:03:17,4.99
Mike,Hillyer,2005-08-01 10:03:20,6.99
Mike,Hillyer,2005-08-01 10:04:17,2.99
Mike,Hillyer,2005-08-01 10:09:06,0.99
Mike,Hillyer,2005-08-01 10:11:25,6.99
Jon,Stephens,2005-08-01 10:13:41,4.99
Jon,Stephens,2005-08-01 10:17:26,5.99
Mike,Hillyer,2005-08-01 10:17:47,4.99
Mike,Hillyer,2005-08-01 10:19:45,2.99
Jon,Stephens,2005-08-01 10:19:53,2.99
Jon,Stephens,2005-08-01 10:20:34,7.99
Jon,Stephens,2005-08-01 10:23:43,3.99
Mike,Hillyer,2005-08-01 10:26:34,0.99
Mike,Hillyer,2005-08-01 10:27:27,2.99
Jon,Stephens,2005-08-01 10:27:42,5.99
Jon,Stephens,2005-08-01 10:37:11,0.99
Jon,Stephens,2005-08-01 10:38:27,2.99
Mike,Hillyer,2005-08-01 10:42:28,2.99
Mike,Hillyer,2005-08-01 10:43:12,5.99
Mike,Hillyer,2005-08-01 10:45:21,0.99
Jon,Stephens,2005-08-01 10:45:51,4.99
Mike,Hillyer,2005-08-01 10:53:16,2.99
Jon,Stephens,2005-08-01 10:55:59,2.99
Mike,Hillyer,2005-08-01 10:56:48,0.99
Mike,Hillyer,2005-08-01 11:00:20,7.99
Mike,Hillyer,2005-08-01 11:01:01,4.99
Jon,Stephens,2005-08-01 11:04:46,2.99
Mike,Hillyer,2005-08-01 11:06:39,2.99
Mike,Hillyer,2005-08-01 11:07:44,6.99
Jon,Stephens,2005-08-01 11:10:55,4.99
Mike,Hillyer,2005-08-01 11:13:59,1.99
Mike,Hillyer,2005-08-01 11:16:05,4.99
Mike,Hillyer,2005-08-01 11:22:20,2.99
Jon,Stephens,2005-08-01 11:23:27,0.99
Jon,Stephens,2005-08-01 11:25:28,3.99
Mike,Hillyer,2005-08-01 11:28:30,3.99
Jon,Stephens,2005-08-01 11:32:16,2.99
Mike,Hillyer,2005-08-01 11:36:19,6.99
Mike,Hillyer,2005-08-01 11:37:34,4.99
Mike,Hillyer,2005-08-01 11:39:26,4.99
Jon,Stephens,2005-08-01 11:41:33,4.99
Mike,Hillyer,2005-08-01 11:41:55,6.99
Jon,Stephens,2005-08-01 11:41:57,4.99
Jon,Stephens,2005-08-01 11:44:08,6.99
Jon,Stephens,2005-08-01 11:44:13,5.99
Mike,Hillyer,2005-08-01 11:45:58,4.99
Jon,Stephens,2005-08-01 11:46:17,0.99
Mike,Hillyer,2005-08-01 11:48:51,4.99
Mike,Hillyer,2005-08-01 11:52:32,0.99
Jon,Stephens,2005-08-01 11:53:12,6.99
Jon,Stephens,2005-08-01 11:53:17,2.99
Jon,Stephens,2005-08-01 11:55:33,6.99
Mike,Hillyer,2005-08-01 11:55:54,4.99
Mike,Hillyer,2005-08-01 11:56:22,2.99
Mike,Hillyer,2005-08-01 12:00:02,4.99
Jon,Stephens,2005-08-01 12:01:17,4.99
Mike,Hillyer,2005-08-01 12:06:30,2.99
Jon,Stephens,2005-08-01 12:06:35,2.99
Jon,Stephens,2005-08-01 12:14:16,3.99
Mike,Hillyer,2005-08-01 12:15:11,0.99
Mike,Hillyer,2005-08-01 12:21:13,4.99
Jon,Stephens,2005-08-01 12:21:53,4.99
Jon,Stephens,2005-08-01 12:22:28,5.99
Mike,Hillyer,2005-08-01 12:22:41,2.99
Mike,Hillyer,2005-08-01 12:23:00,6.99
Jon,Stephens,2005-08-01 12:24:42,0.99
Jon,Stephens,2005-08-01 12:24:54,0.99
Mike,Hillyer,2005-08-01 12:32:23,3.99
Mike,Hillyer,2005-08-01 12:36:09,5.99
Jon,Stephens,2005-08-01 12:36:21,4.99
Mike,Hillyer,2005-08-01 12:37:46,0.99
Jon,Stephens,2005-08-01 12:44:17,10.98
Mike,Hillyer,2005-08-01 12:44:32,0.99
Jon,Stephens,2005-08-01 12:46:39,0.99
Jon,Stephens,2005-08-01 12:46:52,2.99
Mike,Hillyer,2005-08-01 12:48:55,6.99
Jon,Stephens,2005-08-01 12:49:44,2.99
Mike,Hillyer,2005-08-01 12:54:06,2.99
Jon,Stephens,2005-08-01 12:56:19,2.99
Jon,Stephens,2005-08-01 12:56:38,6.99
Jon,Stephens,2005-08-01 12:58:42,2.99
Mike,Hillyer,2005-08-01 12:59:24,0.99
Mike,Hillyer,2005-08-01 13:00:20,4.99
Mike,Hillyer,2005-08-01 13:02:58,8.99
Jon,Stephens,2005-08-01 13:04:57,4.99
Jon,Stephens,2005-08-01 13:05:35,2.99
Jon,Stephens,2005-08-01 13:05:52,0.99
Mike,Hillyer,2005-08-01 13:06:03,3.99
Mike,Hillyer,2005-08-01 13:07:34,0.99
Mike,Hillyer,2005-08-01 13:08:27,4.99
Jon,Stephens,2005-08-01 13:12:11,2.99
Jon,Stephens,2005-08-01 13:16:01,0.99
Jon,Stephens,2005-08-01 13:17:28,2.99
Jon,Stephens,2005-08-01 13:18:23,3.99
Jon,Stephens,2005-08-01 13:23:06,4.99
Mike,Hillyer,2005-08-01 13:25:30,2.99
Mike,Hillyer,2005-08-01 13:26:53,4.99
Jon,Stephens,2005-08-01 13:27:24,0.99
Jon,Stephens,2005-08-01 13:36:51,2.99
Mike,Hillyer,2005-08-01 13:41:41,7.99
Mike,Hillyer,2005-08-01 13:46:02,5.99
Jon,Stephens,2005-08-01 13:46:38,4.99
Jon,Stephens,2005-08-01 13:48:02,1.99
Jon,Stephens,2005-08-01 13:48:22,5.99
Jon,Stephens,2005-08-01 13:51:14,6.99
Mike,Hillyer,2005-08-01 13:52:30,5.99
Mike,Hillyer,2005-08-01 13:54:22,4.99
Mike,Hillyer,2005-08-01 13:54:35,2.99
Jon,Stephens,2005-08-01 13:58:47,6.99
Mike,Hillyer,2005-08-01 14:00:42,4.99
Jon,Stephens,2005-08-01 14:00:59,2.99
Mike,Hillyer,2005-08-01 14:03:38,2.99
Mike,Hillyer,2005-08-01 14:10:21,2.99
Jon,Stephens,2005-08-01 14:11:09,1.99
Mike,Hillyer,2005-08-01 14:11:53,2.99
Jon,Stephens,2005-08-01 14:12:29,0.99
Jon,Stephens,2005-08-01 14:13:00,3.99
Mike,Hillyer,2005-08-01 14:13:19,4.99
Mike,Hillyer,2005-08-01 14:14:59,3.99
Jon,Stephens,2005-08-01 14:16:28,4.99
Jon,Stephens,2005-08-01 14:18:57,5.99
Jon,Stephens,2005-08-01 14:19:48,5.99
Jon,Stephens,2005-08-01 14:23:36,4.99
Mike,Hillyer,2005-08-01 14:23:58,3.99
Jon,Stephens,2005-08-01 14:25:21,2.99
Jon,Stephens,2005-08-01 14:25:40,10.99
Jon,Stephens,2005-08-01 14:30:23,4.99
Mike,Hillyer,2005-08-01 14:30:35,0.99
Jon,Stephens,2005-08-01 14:35:08,4.99
Jon,Stephens,2005-08-01 14:36:26,0.99
Jon,Stephens,2005-08-01 14:39:15,4.99
Mike,Hillyer,2005-08-01 14:44:43,4.99
Mike,Hillyer,2005-08-01 14:48:41,0.99
Jon,Stephens,2005-08-01 14:48:45,4.99
Jon,Stephens,2005-08-01 14:49:41,0.99
Mike,Hillyer,2005-08-01 14:53:52,2.99
Mike,Hillyer,2005-08-01 14:55:31,6.99
Jon,Stephens,2005-08-01 14:56:14,0.99
Mike,Hillyer,2005-08-01 14:57:00,6.99
Mike,Hillyer,2005-08-01 14:58:14,4.99
Mike,Hillyer,2005-08-01 14:59:50,7.99
Mike,Hillyer,2005-08-01 15:05:52,9.99
Jon,Stephens,2005-08-01 15:06:38,3.99
Jon,Stephens,2005-08-01 15:07:04,3.99
Jon,Stephens,2005-08-01 15:09:17,5.99
Jon,Stephens,2005-08-01 15:10:26,0.99
Jon,Stephens,2005-08-01 15:12:00,4.99
Mike,Hillyer,2005-08-01 15:22:38,2.99
Mike,Hillyer,2005-08-01 15:27:05,0.99
Mike,Hillyer,2005-08-01 15:27:10,0.99
Mike,Hillyer,2005-08-01 15:32:41,1.99
Mike,Hillyer,2005-08-01 15:33:03,0.99
Jon,Stephens,2005-08-01 15:33:19,2.99
Jon,Stephens,2005-08-01 15:33:32,7.99
Jon,Stephens,2005-08-01 15:34:46,0.99
Mike,Hillyer,2005-08-01 15:35:14,0.99
Mike,Hillyer,2005-08-01 15:36:56,1.99
Mike,Hillyer,2005-08-01 15:37:17,3.99
Jon,Stephens,2005-08-01 15:37:48,2.99
Mike,Hillyer,2005-08-01 15:37:58,0.99
Mike,Hillyer,2005-08-01 15:40:35,3.99
Mike,Hillyer,2005-08-01 15:44:09,2.99
Mike,Hillyer,2005-08-01 15:44:20,6.99
Mike,Hillyer,2005-08-01 15:44:43,9.99
Mike,Hillyer,2005-08-01 15:44:51,0.99
Mike,Hillyer,2005-08-01 15:44:57,4.99
Jon,Stephens,2005-08-01 15:45:11,4.99
Jon,Stephens,2005-08-01 15:48:33,5.99
Jon,Stephens,2005-08-01 15:52:00,4.99
Jon,Stephens,2005-08-01 15:52:01,5.99
Mike,Hillyer,2005-08-01 15:57:55,4.99
Jon,Stephens,2005-08-01 16:08:46,2.99
Jon,Stephens,2005-08-01 16:08:52,4.99
Mike,Hillyer,2005-08-01 16:11:40,2.99
Jon,Stephens,2005-08-01 16:18:45,9.99
Mike,Hillyer,2005-08-01 16:20:22,2.99
Mike,Hillyer,2005-08-01 16:24:08,2.99
Jon,Stephens,2005-08-01 16:28:07,5.99
Jon,Stephens,2005-08-01 16:31:35,2.99
Mike,Hillyer,2005-08-01 16:33:27,4.99
Mike,Hillyer,2005-08-01 16:38:04,6.99
Mike,Hillyer,2005-08-01 16:38:44,4.99
Mike,Hillyer,2005-08-01 16:39:18,2.99
Mike,Hillyer,2005-08-01 16:40:34,5.99
Mike,Hillyer,2005-08-01 16:48:01,2.99
Mike,Hillyer,2005-08-01 16:48:31,2.99
Mike,Hillyer,2005-08-01 16:50:57,2.99
Mike,Hillyer,2005-08-01 16:51:08,4.99
Mike,Hillyer,2005-08-01 16:51:15,0.99
Mike,Hillyer,2005-08-01 16:56:17,0.99
Jon,Stephens,2005-08-01 16:56:36,0.99
Mike,Hillyer,2005-08-01 16:58:22,8.99
Mike,Hillyer,2005-08-01 17:00:27,0.99
Mike,Hillyer,2005-08-01 17:03:28,8.99
Jon,Stephens,2005-08-01 17:07:16,3.99
Jon,Stephens,2005-08-01 17:09:59,8.99
Mike,Hillyer,2005-08-01 17:10:54,4.99
Mike,Hillyer,2005-08-01 17:11:51,0.99
Jon,Stephens,2005-08-01 17:11:52,3.99
Mike,Hillyer,2005-08-01 17:11:57,7.99
Mike,Hillyer,2005-08-01 17:14:15,2.99
Jon,Stephens,2005-08-01 17:24:35,0.99
Jon,Stephens,2005-08-01 17:26:24,0.99
Mike,Hillyer,2005-08-01 17:27:58,0.99
Jon,Stephens,2005-08-01 17:28:05,0.99
Mike,Hillyer,2005-08-01 17:30:35,4.99
Mike,Hillyer,2005-08-01 17:32:53,4.99
Jon,Stephens,2005-08-01 17:33:03,2.99
Jon,Stephens,2005-08-01 17:47:00,6.99
Mike,Hillyer,2005-08-01 17:49:38,2.99
Mike,Hillyer,2005-08-01 17:51:21,2.99
Jon,Stephens,2005-08-01 17:53:02,2.99
Jon,Stephens,2005-08-01 17:53:43,6.99
Jon,Stephens,2005-08-01 18:04:18,0.99
Mike,Hillyer,2005-08-01 18:05:54,8.99
Jon,Stephens,2005-08-01 18:09:53,0.99
Jon,Stephens,2005-08-01 18:12:35,4.99
Mike,Hillyer,2005-08-01 18:14:14,4.99
Jon,Stephens,2005-08-01 18:15:07,3.99
Mike,Hillyer,2005-08-01 18:16:20,2.99
Jon,Stephens,2005-08-01 18:18:13,4.99
Jon,Stephens,2005-08-01 18:20:23,4.99
Mike,Hillyer,2005-08-01 18:24:41,3.99
Mike,Hillyer,2005-08-01 18:24:51,2.99
Jon,Stephens,2005-08-01 18:26:31,3.99
Jon,Stephens,2005-08-01 18:28:17,3.99
Mike,Hillyer,2005-08-01 18:34:59,4.99
Jon,Stephens,2005-08-01 18:37:39,2.99
Jon,Stephens,2005-08-01 18:38:02,8.99
Jon,Stephens,2005-08-01 18:38:54,0.99
Mike,Hillyer,2005-08-01 18:41:28,7.99
Jon,Stephens,2005-08-01 18:41:34,0.99
Jon,Stephens,2005-08-01 18:43:28,7.99
Mike,Hillyer,2005-08-01 18:43:57,0.99
